Epoch,Error,Time_on_GPU
1,0.882235,3.802194
2,0.836750,7.604147
3,0.825063,11.409805
4,0.818622,15.214953
5,0.814393,19.020834
6,0.811171,22.823861
7,0.808476,26.624478
8,0.806159,30.424745
9,0.803958,34.220770
10,0.799690,38.010332
11,0.791667,41.798030
12,0.787118,45.587609
13,0.784350,49.377152
14,0.782269,53.167813
15,0.780446,56.958296
16,0.778694,60.749236
17,0.776907,64.540101
18,0.775050,68.331515
19,0.773114,72.124397
20,0.771099,75.917719
