Epoch,Error,Time_on_GPU
1,0.896579,7.01951
2,0.850535,14.0406
3,0.832421,21.0596
4,0.821717,28.0775
5,0.813924,35.0936
6,0.807496,42.1096
7,0.80276,49.1249
8,0.799328,56.1413
9,0.796731,63.1576
10,0.794526,70.1746
11,0.791985,77.1898
12,0.788848,84.2052
13,0.786144,91.2198
14,0.783831,98.2344
15,0.781687,105.251
16,0.779511,112.266
17,0.777281,119.281
18,0.774957,126.298
19,0.772533,133.315
20,0.770047,140.34
